start	end	text
160	5640	61% of people feel expected to just get over stress.
5640	7800	Yeah, it's like just power through the moment.
7800	11640	CEO of Calm, author of Recharge, David Code.
11640	13720	Good stress could lead to resilience.
13720	14720	You're never really gonna have
14720	16520	a stress-free work environment.
16520	20640	Not everything has to be 24-7, 365,
20640	23320	because at some point you've caused a lot of bad stress.
23320	25760	That's a real kind of indicator for you to say,
25760	28080	I need to really kind of take a hard stop
28080	30080	and figure out how I recharge.
32400	34920	The number one health and wellness podcast.
34920	35760	Jay Shetty.
35760	36600	Jay Shetty.
36600	38800	The one, the only, Jay Shetty.
40920	43320	Hey everyone, welcome back to On Purpose,
43320	46040	the number one place you come to become happier,
46040	47840	healthier, and more healed.
47840	50120	Thank you so much for tuning in today.
50120	53880	Today I'm so excited because I talked to a really good friend,
53880	58040	someone that I respect so highly and admire so deeply.
58040	59400	And I've had the fortune of knowing
59400	61040	for the last couple of years,
61040	65000	I'm talking about David Code, the CEO of Calm,
65000	68440	the leading app for meditation and mindfulness,
68440	72520	and a new author of his book, Recharge,
72520	75960	that offers tips for the best mental wellness practices
75960	78200	in today's digital world.
78200	82920	The book has interviews with rappers, rebels, and innovators,
82920	86680	as he travels, talking about stress, burnout,
86680	88160	and feeling drained.
88160	90360	If any of you are feeling stressed right now,
90360	91880	this episode's for you.
91880	94520	If you're feeling drained from work right now,
94520	96120	this episode's for you.
96120	98360	And if you need to recharge,
98360	101600	this book and episode is for you.
101600	103320	Please welcome to On Purpose,
103320	105960	the CEO of Calm, David Code.
105960	107680	David, it's great to have you here.
107680	109160	Thank you, Jay, for having me here today.
109160	110160	I'm so excited.
110160	112880	I'm so excited because I really feel like,
112880	115200	ever since we met, I felt like we hit it off.
115200	115960	Right away.
115960	117880	Yeah, right away, right away.
117880	119920	And I've been fortunate enough to have you
119920	121880	interview me so many times,
121880	126120	so I'm glad I get to repay the favor this time round.
126120	127240	And I wanted to ask you,
127240	129040	just to get our blood boiling,
129040	130240	just to start with some fun,
130240	132240	and I wanted to ask you, David,
132240	134720	what's something that you're not calm about?
134720	137440	I think there's a lot of things
137440	140160	that I'm not calm about throughout my day.
140160	142640	I will tell you right now,
142640	147120	I am in the throes of my oldest daughter
147120	149080	applying to colleges.
149080	152320	Even though I try to appear very calm in front of her
152320	154760	and cool and collective, you know?
154760	157880	And you don't want to be like a helicopter type of parent.
157880	159640	There are times where I'm just like,
159640	161800	you know, I want to get in there and say something,
161800	164560	but I realize almost like the best thing for her
164560	166400	is for her to go through it.
166400	168600	And I have to kind of take a backseat.
